order_id,order_date,customer_age,restaurant_type,order_value,delivery_distance_km,delivery_time_minutes,payment_method,delivery_partner_rating,order_status
1,2024-11-05,62,Indian,497.51,11.07,79,UPI,3.9,Cancelled
2,2024-08-20,35,Bakery,232.32,5.83,69,Wallet,2.7,Cancelled
3,2024-02-28,34,Italian,540.82,3.61,70,Wallet,3.4,Cancelled
4,2024-05-26,65,Cafe,1197.99,3.66,18,Card,4.6,Cancelled
5,2024-09-21,40,Indian,947.03,12.08,57,UPI,4.9,Delayed
6,2024-03-16,51,Italian,835.75,3.56,85,UPI,3.8,Delayed
7,2024-11-20,52,Cafe,771.83,14.37,80,Card,3.7,Delivered
8,2024-11-24,52,Chinese,926.2,12.81,19,UPI,4.4,Delayed
9,2024-07-23,38,Bakery,548.11,13.54,42,Cash,4.1,Delayed
10,2024-07-01,24,Fast Food,177.18,8.15,29,Cash,2.9,Delivered
11,2024-09-16,27,Cafe,806.68,5.43,53,Cash,3.1,Cancelled
12,2024-08-27,61,Bakery,1193.33,9.68,26,UPI,3.5,Delivered
13,2024-01-09,31,Chinese,758.14,1.28,57,Cash,2.9,Delayed
14,2024-09-02,47,Cafe,937.07,13.41,88,Wallet,3.8,Cancelled
15,2024-08-21,62,Chinese,810.18,12.36,87,Cash,5.0,Delayed
16,2024-07-24,38,Bakery,773.12,9.07,50,Wallet,2.8,Cancelled
17,2024-04-09,54,Cafe,816.14,10.95,86,UPI,4.8,Delayed
18,2024-04-20,43,Cafe,640.6,4.49,50,Cash,4.1,Delayed
19,2024-03-01,54,Indian,193.87,4.4,63,UPI,2.8,Delivered
20,2024-08-23,23,Chinese,183.09,14.11,52,Cash,2.9,Cancelled
21,2024-10-22,45,Italian,343.21,8.39,77,Cash,4.7,Cancelled
22,2024-12-24,57,Cafe,628.52,12.79,50,UPI,4.0,Cancelled
23,2024-07-11,38,Indian,471.61,10.22,33,Cash,4.8,Delivered
24,2024-06-12,36,Fast Food,873.9,8.41,20,Wallet,3.8,Cancelled
25,2024-03-18,53,Bakery,310.93,10.26,17,Wallet,3.1,Delivered
26,2024-06-28,46,Indian,556.41,8.18,60,Card,2.6,Cancelled
27,2024-03-25,53,Indian,921.62,12.48,56,Card,4.1,Cancelled
28,2024-09-20,38,Cafe,272.59,6.26,21,UPI,4.7,Cancelled
29,2024-05-26,43,Bakery,807.09,10.99,84,Card,4.4,Delayed
30,2024-08-04,24,Cafe,209.75,10.47,82,UPI,3.3,Delivered
31,2024-08-13,46,Bakery,572.97,7.68,57,Wallet,3.4,Delayed
32,2024-08-15,55,Indian,453.01,7.74,72,Cash,3.5,Delayed
33,2024-04-24,44,Chinese,266.46,1.75,71,Cash,3.4,Cancelled
34,2024-11-05,65,Cafe,901.81,6.52,55,Wallet,2.8,Delivered
35,2024-03-28,21,Bakery,335.18,3.36,27,Wallet,4.3,Delivered
36,2024-06-12,58,Cafe,450.15,14.02,29,Cash,3.5,Cancelled
37,2024-10-10,24,Fast Food,412.83,8.04,65,Wallet,3.7,Delivered
38,2024-03-31,40,Indian,686.97,13.24,16,Cash,4.1,Cancelled
39,2024-01-09,47,Chinese,194.0,12.99,16,UPI,3.2,Delayed
40,2024-01-14,26,Cafe,1019.66,11.56,60,UPI,4.9,Delayed
41,2024-12-08,26,Bakery,172.51,6.54,15,Card,4.2,Delivered
42,2024-02-22,30,Italian,889.5,4.34,69,Wallet,4.3,Delayed
43,2024-07-01,19,Fast Food,346.38,4.79,66,Cash,4.1,Delivered
44,2024-12-12,40,Cafe,164.18,9.13,73,Card,3.1,Cancelled
45,2024-10-24,20,Indian,985.03,6.83,71,UPI,4.3,Delivered
46,2024-12-12,29,Cafe,412.23,11.33,41,Card,2.7,Delayed
47,2024-05-30,52,Indian,286.76,5.08,27,Wallet,3.2,Delivered
48,2024-11-23,38,Indian,481.74,8.16,77,Card,3.5,Delayed
49,2024-03-02,53,Fast Food,468.92,6.71,60,Cash,2.8,Delayed
50,2024-11-02,54,Chinese,809.62,3.33,64,Card,2.7,Delayed
51,2024-11-28,33,Italian,854.03,12.18,33,UPI,2.7,Cancelled
52,2024-09-01,64,Indian,499.12,1.64,79,UPI,4.2,Delayed
53,2024-01-29,55,Chinese,331.23,8.32,26,Cash,3.9,Cancelled
54,2024-02-07,59,Cafe,658.77,4.93,86,UPI,2.6,Delayed
55,2024-11-11,64,Bakery,668.85,9.82,51,Card,3.2,Delayed
56,2024-08-28,25,Indian,401.65,11.59,64,Card,3.9,Delivered
57,2024-10-03,46,Chinese,779.74,12.57,31,UPI,4.5,Delayed
58,2024-03-11,47,Indian,439.7,0.56,38,UPI,4.4,Cancelled
59,2024-12-19,20,Indian,698.47,12.98,89,Cash,4.6,Delayed
60,2024-12-20,52,Cafe,937.01,7.65,74,UPI,4.4,Delayed
61,2024-07-28,39,Bakery,1183.0,4.69,53,Wallet,3.9,Cancelled
62,2024-03-08,54,Fast Food,1004.92,11.83,40,Card,4.8,Cancelled
63,2024-05-09,41,Italian,576.89,9.03,52,UPI,3.1,Delayed
64,2024-12-09,19,Cafe,938.23,7.48,71,Cash,4.9,Delivered
65,2024-10-20,38,Fast Food,420.05,8.92,68,Wallet,4.3,Cancelled
66,2024-09-11,48,Indian,419.6,1.5,78,Card,3.1,Delayed
67,2024-08-21,62,Italian,805.56,8.92,27,Wallet,3.9,Cancelled
68,2024-08-20,22,Bakery,835.98,5.85,67,Wallet,4.5,Delayed
69,2024-10-14,30,Fast Food,800.35,8.85,85,Card,3.4,Cancelled
70,2024-05-01,55,Bakery,551.82,12.14,23,UPI,4.8,Delivered
71,2024-06-11,49,Bakery,532.03,6.75,64,Wallet,3.7,Cancelled
72,2024-10-11,37,Bakery,1096.12,1.82,45,UPI,4.8,Delivered
73,2024-05-25,59,Italian,803.3,10.42,59,Wallet,3.0,Cancelled
74,2024-08-21,39,Italian,313.66,14.04,35,Card,3.6,Cancelled
75,2024-06-24,37,Chinese,193.56,6.78,49,UPI,4.9,Cancelled
76,2024-08-12,37,Bakery,874.31,8.66,58,Wallet,5.0,Delayed
77,2024-12-13,21,Bakery,1123.71,5.53,90,UPI,2.7,Delivered
78,2024-11-28,43,Bakery,497.26,10.06,36,Wallet,3.3,Delivered
79,2024-12-08,36,Italian,1083.21,1.78,41,Wallet,3.8,Cancelled
80,2024-07-16,29,Chinese,961.1,13.2,16,Card,4.5,Cancelled
81,2024-08-26,44,Chinese,765.08,9.84,69,Card,2.7,Delivered
82,2024-11-06,47,Chinese,704.03,1.83,33,Wallet,4.4,Delayed
83,2024-08-31,40,Italian,921.49,1.01,75,UPI,3.4,Delivered
84,2024-10-10,42,Bakery,338.79,5.03,47,UPI,2.7,Delayed
85,2024-09-12,53,Italian,925.0,0.91,44,UPI,4.0,Delayed
86,2024-07-05,27,Chinese,219.65,4.48,80,Cash,4.1,Cancelled
87,2024-06-03,42,Bakery,171.43,4.66,44,Wallet,4.2,Delayed
88,2024-09-03,42,Italian,744.13,13.97,16,Wallet,2.8,Delayed
89,2024-10-15,60,Chinese,1017.52,11.89,77,Card,4.9,Delayed
90,2024-10-11,26,Cafe,857.45,8.73,77,Cash,3.0,Cancelled
91,2024-03-18,53,Bakery,1177.39,6.95,76,Cash,3.9,Cancelled
92,2024-07-21,64,Fast Food,222.94,4.01,68,Card,3.5,Delayed
93,2024-08-24,60,Italian,358.24,9.45,86,Cash,2.6,Delayed
94,2024-08-06,45,Italian,902.2,5.07,36,UPI,3.7,Cancelled
95,2024-10-15,36,Fast Food,646.58,11.66,15,Cash,2.8,Delivered
96,2024-03-31,26,Chinese,692.18,4.66,60,UPI,2.7,Delivered
97,2024-05-13,21,Bakery,398.18,0.82,85,UPI,3.6,Delayed
98,2024-01-10,48,Italian,261.92,6.57,46,UPI,3.1,Cancelled
